Time,Va,Vb,Vc,Ia,Ib,Ic
0,0.158143650278076,-0.57937598295115,0.463560483549486,-55.7589867446457,4.16828605731105,57.3488043118784
5e-05,0.134126515529102,-0.622830257587603,0.422083023361608,-57.5968495239865,3.47733401543208,56.0360204914475
0.0001,0.193074059458541,-0.557927829269407,0.446962048326283,-60.2151828239849,2.36355633964916,52.184612325772
0.00015,0.178906761479131,-0.555153286740855,0.403555643502873,-54.2529077429953,1.335062858399,53.418089584353
0.0002,0.21672816050006,-0.577227610314734,0.452885770229546,-55.2750157248938,0.340759583974727,61.3515160664042
0.00025,0.208998811207117,-0.570350353791069,0.430781138174022,-54.9371801508948,-0.581767879864636,52.7946650170336
0.0003,0.21006836612829,-0.562623444060257,0.399041112464679,-51.4203126575442,-1.72644883661757,56.947137607293
0.00035,0.247786822688133,-0.556559243145261,0.415166747207255,-55.499812627663,-2.80668702857941,55.4168066875546
0.0004,0.19185936094852,-0.53141698756836,0.370462508262723,-49.2798255221679,-3.49316454179316,60.7366332137365
0.00045,0.224863489113293,-0.608065413823376,0.378527373750531,-53.8179318121155,-4.67480531272355,59.4075240049185
0.0005,0.253169607873169,-0.596943004494797,0.38690579070296,-54.7190560761084,-5.41420003557062,57.235636212384
0.00055,0.24648261792252,-0.589389639460071,0.363409276828329,-54.1058135318222,-6.23217768068368,55.5369348035147
0.0006,0.282623438290352,-0.602967862558996,0.366874103329702,-49.9585753507916,-7.73957188308104,56.7013306714566
0.00065,0.327573497926391,-0.556557631052581,0.387451087741607,-54.3047697832055,-9.1724146716756,58.8916901369824
0.0007,0.298652315656594,-0.582239947948541,0.374134850548378,-47.3136672675468,-8.63998458696275,53.0602141692751
0.00075,0.314420622924364,-0.605931220001767,0.354136783379351,-46.1674696206787,-10.4191374568275,57.8219994246399
0.0008,0.324052486980353,-0.549932472317853,0.366150365602662,-46.0407698000858,-12.4149881790172,57.5071354848175
0.00085,0.366252465595133,-0.554031423771631,0.384877301302765,-50.1419663043021,-11.7238603305576,57.2841894776578
0.0009,0.319585166910055,-0.578376662348178,0.309066263006068,-46.8403628883048,-12.2642449844438,66.3035417749598
0.00095,0.352436389135649,-0.56303236611135,0.339434810889188,-40.6647240893863,-15.5290840094823,66.672720164629
0.001,0.323617659076645,-0.621082898434454,0.286790945596536,-44.7787311428979,-15.872588324732,57.6638664958324
0.00105,0.373189831852608,-0.570834941095293,0.33080214517966,-46.1608205707139,-16.4334931833418,62.5075227230112
0.0011,0.37813386393481,-0.556297150479811,0.318921630740143,-45.0516237893393,-17.9309104240444,60.8962554720228
0.00115,0.37296868489582,-0.593812434859902,0.28362230996256,-46.8131195221586,-19.8135955771943,65.787635227483
0.0012,0.34590553703193,-0.587388719978646,0.249561365035814,-47.8918422832973,-19.2977275039953,64.5440340657917
0.00125,0.387830444050551,-0.550944253642228,0.274311642294723,-43.7422586256285,-19.9059732859039,66.8690347271839
0.0013,0.398732349274063,-0.596874810796531,0.270091129238159,-39.3529113291233,-21.1078059531748,62.9547304923229
0.00135,0.396975711697058,-0.578113034370622,0.247959782977211,-40.4207226664568,-21.121567689216,64.8187757431362
0.0014,0.408726919726492,-0.596486603006772,0.237218226740788,-40.3867840093397,-22.9045410193192,65.6260707559015
0.00145,0.412953137676155,-0.597015786176141,0.232908408006344,-41.8760820268958,-23.6878646331795,60.9938654872822
0.0015,0.417147496603671,-0.584035515863736,0.219679636812548,-39.1397048473181,-22.2906280626988,59.0451827079975
0.00155,0.433066056629686,-0.589062999807719,0.226289513964749,-36.5647011812407,-24.2490854207969,57.0056000863043
0.0016,0.428021154239899,-0.555648112103173,0.203322947777866,-36.9137421993995,-28.0316745917646,67.4728863429245
0.00165,0.443939654922412,-0.581759735570847,0.188593954733175,-33.6168172867639,-24.2729952204412,62.5420577621042
0.0017,0.461155341096712,-0.580559017648901,0.200915775735651,-34.9668522071706,-29.181724501853,69.9617805337979
0.00175,0.452864064023251,-0.550276032065234,0.173953955465995,-32.0274237462068,-29.5856243161981,60.0588356826204
0.0018,0.444917775793416,-0.553792852974418,0.148624922040603,-33.301895866659,-29.9143560702378,63.1755507808606
0.00185,0.443894230004649,-0.564403476363594,0.138900370529571,-34.6785569663771,-33.7187200741518,67.2898885034647
